gene	betweenness	eigenvector
GRIA1	3.000000	0.002027
GRIN1	8.000000	0.002183
NR0B1	0.000000	0.000638
NR5A1	0.000000	0.002263
F2R	2.000000	0.000839
SSX2IP	120.000000	0.009485
CCL3L3	0.000000	0.000048
S1PR3	0.000000	0.000007
TRADD	105.000000	0.002214
RIPK1	9.000000	0.009102
NEO1	0.000000	0.002991
ARHGEF12	11.000000	0.006542
KRIT1	3.000000	0.001975
TRPV4	176.500000	0.002588
NCAM1	251.000000	0.003545
KCNMB2	0.000000	0.000722
CRY1	14.000000	0.008968
WASF2	8.000000	0.008491
TAB1	183.000000	0.015136
MFN2	111.000000	0.008736
OPA1	238.500000	0.012477
WASL	1.000000	0.006934
PFKFB1	0.000000	0.001345
IL12RB2	6.000000	0.000823
IL18RAP	0.000000	0.000325
PDX1	4.000000	0.000569
MAPKAPK3	0.000000	0.003249
IL6R	47.000000	0.000511
PIM2	0.000000	0.001417
GHRHR	0.000000	0.000000
KIT	67.000000	0.002145
PTPN11	2269.500000	0.016676
PDHA1	368.500000	0.036884
IL6ST	1022.500000	0.002243
SUFU	96.000000	0.002628
LTBP1	884.000000	0.003686
SIPA1	3.000000	0.004994
FGFR2	160.500000	0.007096
GAB1	55.000000	0.007004
MYLK4	0.000000	0.005744
IL6	15.000000	0.000779
DLL3	0.000000	0.001116
TLR7	0.000000	0.000206
APOC1	109.000000	0.000484
LCAT	0.000000	0.000166
SIPA1L1	11.000000	0.008543
KCNK2	0.000000	0.000151
HSPD1	2033.000000	0.049085
TLR4	62.000000	0.002029
PPID	0.000000	0.007855
CLP1	1.000000	0.005692
PCF11	6.000000	0.008435
GPRC6A	0.000000	0.000000
TBX21	23.000000	0.000893
IL12RB1	182.000000	0.002961
ITGB3	130.000000	0.001579
SMAD1	572.500000	0.004359
CDK2	485.000000	0.040941
STK39	0.000000	0.006413
SLC12A3	0.000000	0.004183
SIVA1	139.000000	0.000986
CYTH4	1.000000	0.001200
EEF1A1	281.500000	0.046770
HSF1	356.500000	0.030155
SSTR1	0.000000	0.000447
SNAP29	1.000000	0.008917
VAMP8	6.000000	0.004934
PDCD1	0.000000	0.001578
ROCK1	815.500000	0.008486
TNFSF4	0.000000	0.000000
TNFRSF4	0.000000	0.000241
PLA2G6	2.000000	0.001834
PSTPIP1	41.000000	0.003150
MEFV	0.000000	0.000797
CDX2	1.000000	0.001616
SHH	1.000000	0.000076
THRA	9.000000	0.003337
E2F1	148.500000	0.007054
CDC6	185.000000	0.003558
EDA	17.000000	0.003048
EDAR	3.000000	0.001034
KIDINS220	469.500000	0.010290
SPATA13	6.000000	0.002991
MKNK2	0.000000	0.002305
EEF2K	11.000000	0.002779
EEF2	9386.500000	0.043323
LRRC4B	3.000000	0.002346
IL2RG	29.000000	0.000330
GNAL	9.000000	0.002698
STIM1	52.500000	0.019912
ORAI1	0.000000	0.001517
GPC3	0.000000	0.001097
HBS1L	2.000000	0.012677
PELO	3.000000	0.013336
PKLR	91.500000	0.002919
HLA-B	456.500000	0.010632
KIR3DL2	0.000000	0.000446
CXCL1	115.000000	0.001294
VIM	6953.000000	0.042632
EPO	0.000000	0.000745
EPOR	0.000000	0.001317
CTU1	308.000000	0.001959
CTU2	222.000000	0.003186
ITGAM	66.000000	0.002037
PTGS2	0.000000	0.002532
IRF7	1986.000000	0.005460
