gene	betweenness	eigenvector
MFGE8	35.000000	0.002553
CCKBR	6.000000	0.000158
ITGB1	1128.500000	0.017326
PIK3AP1	0.000000	0.001370
TMEM53	0.000000	0.000669
SMAD1	233.500000	0.005712
APLNR	0.000000	0.002952
DCN	347.500000	0.000589
IGF1	221.000000	0.000467
TGFB2	1.000000	0.000839
VPS4A	4.000000	0.007453
VTA1	42.000000	0.008850
IRF5	7.000000	0.003545
SNAP29	1.000000	0.009547
STX7	3766.666667	0.019479
FHOD1	2.000000	0.007191
PTGS2	0.000000	0.002366
RASSF6	0.000000	0.000669
MFN2	236.000000	0.008874
OPA1	348.500000	0.013951
LY9	0.000000	0.000264
ARHGEF1	6.000000	0.010002
CUL3	21536.000000	0.102783
SPOPL	1.000000	0.000662
LCAT	0.000000	0.000163
IL6ST	1281.500000	0.002182
LEFTY1	0.000000	0.000101
DAG1	31.000000	0.006343
DMD	102.000000	0.005029
LIMK1	160.000000	0.005064
SLAMF1	312.500000	0.001734
CHRM1	0.000000	0.000003
STAT5A	302.000000	0.004643
CUBN	101.000000	0.000487
AMN	0.000000	0.000003
PALB2	4.000000	0.003893
CAMKK2	26.000000	0.002967
PRKAA1	359.000000	0.013877
PTPRJ	60.000000	0.004463
MYO1H	0.000000	0.001397
JUP	2918.333333	0.028847
RB1CC1	211.500000	0.016952
ATG16L1	2869.000000	0.045535
ITGA2B	8.000000	0.001078
NOS1	18.000000	0.000881
NOS1AP	143.000000	0.006492
TNFRSF1B	141.000000	0.003409
KCNK2	0.000000	0.000123
NR1D1	5.000000	0.000570
DTX2	6396.166667	0.009969
CTNNBIP1	22.000000	0.001608
AXL	2672.000000	0.015812
PIK3R4	20.000000	0.008770
NCR1	0.000000	0.000750
EPOR	4.000000	0.001272
TTF1	0.000000	0.008374
TRPV1	0.000000	0.001776
GCGR	1.000000	0.002336
FGR	179.000000	0.006242
PLD1	9.000000	0.005248
ITGA5	3252.000000	0.006310
NLRP1	4.000000	0.002910
CALCRL	0.000000	0.000019
THRA	44.000000	0.002932
NRP1	110.500000	0.012351
AGT	6.500000	0.002222
RHOQ	680.000000	0.012455
WNT1	0.000000	0.000215
EVL	0.000000	0.003171
SDC1	8.500000	0.004809
MATK	0.000000	0.002231
NTF3	2.000000	0.000903
NR5A1	0.000000	0.002250
GAL	1.000000	0.001003
GALR1	0.000000	0.000114
SSX2IP	1374.500000	0.009595
SMAD6	0.000000	0.001680
TYR	0.000000	0.000109
WEE2	0.000000	0.000000
REL	1619.500000	0.007958
FN1	3115.000000	0.041523
NAMPT	27.000000	0.010950
CYBB	13.000000	0.000663
ID1	2.000000	0.001848
SVIP	0.000000	0.000747
NPLOC4	59.000000	0.009626
LY96	0.000000	0.000143
ITGB3	33.000000	0.001876
IL3	0.000000	0.000382
SPATA13	0.000000	0.003036
TBPL2	0.000000	0.000786
BAG4	268.500000	0.007924
PABPC4L	2.000000	0.002410
CNOT7	31.000000	0.007085
RXFP4	0.000000	0.000167
ATP6AP2	412.000000	0.010803
CUL1	3481.500000	0.043385
FBXW11	2251.500000	0.016687
CXCL9	348.500000	0.000332
CALR	2288.333333	0.021386
LRP1	182.000000	0.007982
ACP1	125.500000	0.007247
IL1RAP	46.000000	0.002443
LRRC4B	7.000000	0.001977
GPC3	10.000000	0.001090
IGF2	20.000000	0.000980
GRIN2A	4.000000	0.001591
PDK1	33.000000	0.012843
CHD8	1086.666667	0.018271
CTSK	3.000000	0.000390
ONECUT1	0.000000	0.000576
GNAT3	0.000000	0.001965
EDNRA	8.000000	0.000961
SOX9	7.000000	0.005586
AMH	0.000000	0.000658
NEO1	0.000000	0.002956
BCL6	287.500000	0.008029
SKP1	7617.000000	0.023995
CRY1	6.000000	0.009189
SLC8A2	0.000000	0.001933
SH2B2	3.000000	0.001736
RGS2	2.000000	0.002976
SCN1A	0.000000	0.001452
MMP7	0.000000	0.000617
LSP1	18.000000	0.001621
SEMA3A	0.000000	0.001342
CXCL1	115.000000	0.001381
BATF	0.000000	0.000443
KIDINS220	195.500000	0.011265
GUCY1A2	0.000000	0.000735
SEC31A	10.000000	0.020068
SAR1B	926.333333	0.014765
PVR	204.000000	0.004789
CSNK1D	48.000000	0.014974
HHIP	101.000000	0.001933
ACP5	4.000000	0.000957
AMHR2	0.000000	0.002145
CTSG	45.000000	0.001726
EEF2	8895.000000	0.041446
HDAC1	1237.250000	0.050236
TRPV4	143.500000	0.002428
TAB1	957.000000	0.015413
FFAR1	0.000000	0.003671
NLRC4	2.000000	0.000628
RASD1	0.000000	0.000834
PLEKHM2	0.000000	0.000806
KLC3	62.000000	0.003467
CTNND2	121.000000	0.004551
S1PR1	641.000000	0.001981
MAF	4.000000	0.002410
IL4R	51.000000	0.001161
GHRHR	0.000000	0.000000
CHRM5	0.000000	0.000728
PML	1795.000000	0.040553
