gene	log2FC	pvalue	FDR
SUN1	0.04604838585109938	0.2596532760660275	0.32213605071753276
SRL	-1.4248157167130069	1.2289386342437425e-08	5.392048880484858e-08
SRM	0.8749439450108163	4.1474106519214585e-17	1.0993672918312783e-15
SRR	-0.268407367933273	3.340263180186416e-05	8.424277347753157e-05
LGALS9	-0.2762678405931478	0.00951705124539492	0.01609117054707698
LGALS8	0.07918525641026619	0.2368158906608988	0.2966779506333641
LGALS3	-1.263138090824837	2.0301686668718953e-30	1.2257707261979866e-27
LGALS2	0.5251909484090205	0.03870328104384209	0.05829899631108466
LGALS1	-0.8780968721038	8.66932028127809e-09	3.891704783846769e-08
SRY	-0.4157242199567504	8.115641193400203e-05	0.00019384788679093057
LGALS7	-1.3780351637318506	4.422461571564762e-08	1.774863824215873e-07
LGALS4	-1.2709351405622504	9.546302770957035e-05	0.000225787200249752
NMU	-0.1637855962310788	0.4474981009575244	0.5157380022488203
RNF114	-0.05247634383689892	0.13174535892248998	0.17698498897028692
AKIRIN2	-0.14759785295025907	0.0005891349784354955	0.0012230599705132694
AKIRIN1	-0.35166149212233044	1.3253882794470836e-11	9.865972480158153e-11
EIF2AK1	0.5866274945937562	1.0942871440360716e-16	2.603362827570944e-15
ERCC6L	1.0072036067346315	4.2684575179479015e-12	3.5330994901034116e-11
EIF2AK3	0.16857193388940317	0.011930585375544287	0.019874555772749127
EIF2AK2	0.01916078931109766	0.8040061829750492	0.8466174979723704
TDG	0.1838114535063422	0.0005559112696542975	0.0011578466229595448
EIF2AK4	0.2274463314797579	0.0005508994425229104	0.0011478479948886103
HN1	0.33857671455050564	1.873927152236366e-05	4.9328824785689825e-05
SMS	0.9854756101328306	3.1867798925224255e-10	1.8550575185824167e-09
NMB	-0.082904827000303	0.41255730410700175	0.4806166557010285
EREG	-0.24963344145814004	0.26165873735511286	0.32425395183299505
LOC729467	-0.0007853259190609974	0.9888408627464507	1.0
AVPI1	-1.2117177633611362	1.5270890355542757e-14	2.1553770958966061e-13
MYO16	-0.8439123185047839	3.0595243780060994e-07	1.074118367012197e-06
FAM136B	0.07788952734012988	0.17099848179086427	0.22267092021364882
TRNT1	0.4627088430645614	9.560923766217603e-08	3.633151031162689e-07
ASAP1	-0.6331590438677885	1.081085993357722e-09	5.673221910097403e-09
ASAP2	-0.16076383225209412	0.030933183532258688	0.04746319901575426
ASAP3	-0.07842352486871107	0.19876550740274723	0.2541691415993713
OCRL	-0.159680421686744	0.004909039523846941	0.008723257283382694
?|441362	0.002307630522088353	0.15754129863867872	0.20738357965178783
VSIG10L	-0.821194516527644	2.1101903059771702e-08	8.945632971466913e-08
PLAUR	-0.136993080012358	0.4428944330575437	0.5108657077551884
XIST	-0.4128373571207913	0.08065320160113577	0.11386533828662276
KRT28	0.027330730614766752	0.0033606407512554374	0.0061270665466606426
TBX2	-0.6673004016064308	0.0029961853748375834	0.0055181397481333435
LOR	-0.004172791164658685	0.9244083858770373	0.9514603975482188
LRRC26	1.330892261353112	9.955357955531814e-10	5.270084279625902e-09
KIAA1524	-0.04088809854803088	0.7445394834879184	0.7927628067129706
LRRC24	-0.40617005715169263	0.04984809492636797	0.07346746618656999
KIAA1522	0.29047011893729824	0.00036792722554452846	0.0007874425142217281
MPDU1	0.10766417979610132	0.22004205388093984	0.27809888728627324
KIAA1033	-0.30540564565955997	3.533515140273412e-07	1.228085786520353e-06
LOX	0.6490456286685182	0.0008741531861966824	0.0017606183891003605
LPGAT1	-0.43623069199876596	0.00012068222274650398	0.0002801910696024365
LOC284661	0.17893256101328398	3.042579608357597e-13	3.2739361567950855e-12
SEMA6D	-2.0489650061785643	1.5125357031381719e-24	2.417387944368478e-22
LRRC29	-0.06198300123571254	0.4067100430103685	0.47436410682943597
KIAA1529	0.49438305529810567	2.021142353125386e-06	6.215556053697424e-06
SH3D20	0.42192092987334284	0.004989983509302101	0.008855509598154022
GCNT4	-2.432807491504476	2.156495089017571e-19	1.046285206582275e-17
