gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
VHL	1206.0	0.023337	3703.5	0.019764	2497.5	0.003573	0.9838169642857143	0.9879464285714286	0.9719584562340561	54	2497.5	-0.003573
HEXIM1	2425.333333	0.053131	515.0	0.057943	1910.333333	0.004812000000000004	0.9772321428571429	0.9943080357142857	0.9716697724011479	55	-1910.333333	0.004812000000000004
JUP	2918.333333	0.028847	307.5	0.032272	2610.833333	0.003425000000000001	0.9844866071428572	0.9869419642857142	0.9716311458665498	56	-2610.833333	0.003425000000000001
BAG2	1849.5	0.031139	18.5	0.036065	1831.0	0.004926	0.9756696428571429	0.9948660714285714	0.970660624601403	57	-1831.0	0.004926
RPA3	5149.0	0.109898	6708.5	0.10249	1559.5	0.007407999999999998	0.9714285714285714	0.9991071428571429	0.9705612244897959	58	1559.5	-0.007407999999999998
TRIM25	4592.5	0.075611	6942.5	0.072118	2350.0	0.003492999999999996	0.9825892857142857	0.9876116071428571	0.9704165836256378	59	2350.0	-0.003492999999999996
ATP1A1	1801.0	0.034429	46.0	0.039335	1755.0	0.004906000000000001	0.9746651785714285	0.9947544642857142	0.9695525375677614	60	-1755.0	0.004906000000000001
SMC5	3294.0	0.047843	4857.166667	0.042084	1563.1666670000004	0.005758999999999993	0.9716517857142857	0.9967633928571429	0.968506930604273	61	1563.1666670000004	-0.005758999999999993
CDC37	1397.5	0.029971	4236.5	0.027041	2839.0	0.002930000000000002	0.9861607142857143	0.9818080357142858	0.9682205137914541	62	2839.0	-0.002930000000000002
ST7	2845.0	0.008072	36.0	0.011	2809.0	0.002928	0.9858258928571428	0.9816964285714286	0.9677817582110969	63	-2809.0	0.002928
SNRNP200	4997.0	0.030974	1427.833333	0.028289	3569.166667	0.002685	0.9904017857142857	0.9771205357142857	0.967741923429528	64	-3569.166667	-0.002685
MAPT	1918.5	0.042263	212.0	0.046823	1706.5	0.004559999999999995	0.9739397321428571	0.9931919642857143	0.9673091156628667	65	-1706.5	0.004559999999999995
RIN3	5826.0	0.020502	2378.0	0.023188	3448.0	0.002686000000000001	0.98984375	0.9772321428571429	0.96730712890625	66	-3448.0	0.002686000000000001
TIPARP	72.0	0.074269	1427.0	0.062192	1355.0	0.012077000000000004	0.9674107142857142	0.9998883928571428	0.9673027443399234	67	1355.0	-0.012077000000000004
SNRPD2	6243.733333	0.029908	9030.833333	0.026993	2787.1000000000004	0.002915000000000001	0.9856026785714286	0.9813616071428571	0.967232628647162	68	2787.1000000000004	-0.002915000000000001
YWHAH	1950.0	0.035849	210.5	0.040224	1739.5	0.004375000000000004	0.9745535714285715	0.9924107142857143	0.9671574059311224	69	-1739.5	0.004375000000000004
ATG16L1	2869.0	0.045535	328.5	0.048484	2540.5	0.0029490000000000002	0.9840401785714286	0.98203125	0.9663582066127232	70	-2540.5	0.0029490000000000002
