gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
SRC	1169.0	0.019622	288.0	0.022712	881.0	0.003089999999999999	0.9550223214285715	0.9835379464285714	0.9393006928113042	146	-881.0	0.003089999999999999
TAF2	23.0	0.011802	1140.5	0.009207	1117.5	0.002595	0.9619419642857143	0.9758928571428571	0.938752291932398	147	1117.5	-0.002595
CDK1	927.0	0.032177	3906.0	0.030464	2979.0	0.0017129999999999958	0.9875	0.9504464285714286	0.9385658482142858	148	2979.0	-0.0017129999999999958
XRN1	96.0	0.015495	1411.0	0.013244	1315.0	0.0022509999999999995	0.9681919642857143	0.9693638392857142	0.9385302796655771	149	1315.0	-0.0022509999999999995
ATF2	207.5	0.012119	3410.0	0.010456	3202.5	0.0016629999999999995	0.9887276785714286	0.9485491071428571	0.9378567567163585	150	3202.5	-0.0016629999999999995
HNRNPR	94.0	0.039243	734.5	0.034403	640.5	0.004839999999999997	0.9428013392857143	0.9944196428571429	0.937540171097736	151	640.5	-0.004839999999999997
BRD4	3234.166667	0.071688	1838.0	0.06955	1396.166667	0.002138000000000001	0.9699776785714286	0.9665178571428571	0.9375007473692601	152	-1396.166667	-0.002138000000000001
BET1	1079.0	0.011958	14.5	0.014559	1064.5	0.002601000000000001	0.9603794642857143	0.9761160714285714	0.9374418297592474	153	-1064.5	0.002601000000000001
FANCI	6542.5	0.013206	72.5	0.014713	6470.0	0.0015069999999999997	0.9966517857142857	0.93984375	0.9366969517299106	154	-6470.0	0.0015069999999999997
SF3B1	231.0	0.038659	803.833333	0.032115	572.833333	0.006544000000000001	0.9377232142857143	0.9983258928571429	0.9361533651546556	155	572.833333	-0.006544000000000001
LARP1	386.0	0.036354	1433.833333	0.033801	1047.833333	0.0025529999999999997	0.9594866071428572	0.9753348214285714	0.9358206986407844	156	1047.833333	-0.0025529999999999997
PRKCA	1955.0	0.012113	643.0	0.014214	1312.0	0.0021009999999999987	0.9680803571428571	0.9651227678571429	0.9343163937938457	157	-1312.0	0.0021009999999999987
ARF1	953.833333	0.013338	5.0	0.01584	948.833333	0.0025020000000000008	0.9572544642857143	0.9743303571428571	0.9326820840640944	158	-948.833333	0.0025020000000000008
THOC2	115.0	0.019317	726.0	0.015373	611.0	0.003944000000000001	0.9411830357142857	0.9908482142857142	0.9325695302535076	159	611.0	-0.003944000000000001
