gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
EMD	1800.0	0.036261	4861.333333	0.034143	3061.3333329999996	0.002118000000000002	0.9880580357142857	0.9657366071428571	0.9542038150709503	110	3061.3333329999996	-0.002118000000000002
RPS15	246.0	0.024949	2197.833333	0.022417	1951.833333	0.0025319999999999995	0.9779017857142858	0.9751116071428572	0.9535633818957271	111	1951.833333	-0.0025319999999999995
CREBBP	7845.133333	0.019066	3825.166667	0.017101	4019.966666	0.001964999999999998	0.9918526785714286	0.9612723214285714	0.9534405268455038	112	-4019.966666	-0.001964999999999998
EZR	989.5	0.028018	54.0	0.033624	935.5	0.005606	0.9568080357142857	0.9964285714285714	0.9533908641581633	113	-935.5	0.005606
RPL18A	240.5	0.027303	4496.0	0.025417	4255.5	0.0018860000000000023	0.9934151785714286	0.9588169642857143	0.952503325793208	114	4255.5	-0.0018860000000000023
TCP1	1167.5	0.031785	282.0	0.037521	885.5	0.005735999999999998	0.9551339285714285	0.9966517857142857	0.9519359355070153	115	-885.5	0.005735999999999998
RPLP2	780.0	0.026852	2684.166667	0.02437	1904.166667	0.0024820000000000016	0.9774553571428571	0.9738839285714286	0.9519280632174745	116	1904.166667	-0.0024820000000000016
OPTN	5752.5	0.019669	800.5	0.021513	4952.0	0.0018440000000000019	0.9944196428571429	0.95703125	0.951690673828125	117	-4952.0	0.0018440000000000019
MTCH2	1668.0	0.022899	388.0	0.026079	1280.0	0.0031800000000000023	0.9665736607142857	0.9845982142857143	0.9516867003148916	118	-1280.0	0.0031800000000000023
RIF1	2798.5	0.014567	7711.0	0.012725	4912.5	0.0018419999999999999	0.9943080357142857	0.9569196428571428	0.9514728904257015	119	4912.5	-0.0018419999999999999
TRRAP	4535.0	0.030653	5889.0	0.027729	1354.0	0.0029239999999999995	0.9689732142857143	0.9815848214285714	0.9511293995137117	120	1354.0	-0.0029239999999999995
CTNNB1	11296.166667	0.04805	6107.0	0.046245	5189.1666669999995	0.001805000000000001	0.99453125	0.9558035714285714	0.9505765206473213	121	-5189.1666669999995	-0.001805000000000001
RNF40	1479.0	0.013116	58.0	0.015928	1421.0	0.002812000000000002	0.9703125	0.9792410714285714	0.9501698521205357	122	-1421.0	0.002812000000000002
VAPA	967.0	0.02861	63.0	0.033316	904.0	0.004705999999999998	0.9558035714285714	0.9940848214285715	0.9501498226243623	123	-904.0	0.004705999999999998
CHD4	2301.0	0.051705	670.0	0.05432	1631.0	0.0026149999999999993	0.9732142857142857	0.9762276785714286	0.9500787228954082	124	-1631.0	0.0026149999999999993
RTN3	2859.0	0.010293	12.0	0.012282	2847.0	0.0019889999999999994	0.9866071428571429	0.9621651785714286	0.9492790377869899	125	-2847.0	0.0019889999999999994
DDOST	1391.833333	0.024004	383.0	0.027778	1008.833333	0.0037739999999999996	0.9590401785714285	0.9895089285714286	0.9489788195551658	126	-1008.833333	0.0037739999999999996
HSPA8	1341.0	0.098434	3046.0	0.095945	1705.0	0.0024889999999999912	0.97421875	0.9739955357142858	0.9488847133091518	127	1705.0	-0.0024889999999999912
LATS1	6188.5	0.016255	8854.666667	0.014249	2666.1666669999995	0.002005999999999999	0.9856026785714286	0.9627232142857143	0.9488625787228954	128	2666.1666669999995	-0.002005999999999999
RAB4A	1114.0	0.015411	7.0	0.018797	1107.0	0.003386000000000002	0.9614955357142857	0.9864955357142857	0.9485110535913585	129	-1107.0	0.003386000000000002
HIST1H2BH	9301.0	0.018344	5152.0	0.020135	4149.0	0.001791000000000001	0.9927455357142857	0.9552455357142857	0.9483157410913584	130	-4149.0	0.001791000000000001
KIF14	12934.0	0.077338	14137.0	0.074396	1203.0	0.002942	0.9645089285714286	0.9819196428571428	0.9470702626753826	131	1203.0	-0.002942
ZC3H14	376.0	0.016443	1436.0	0.013195	1060.0	0.003247999999999999	0.96015625	0.98515625	0.9459039306640625	132	1060.0	-0.003247999999999999
HSPA6	1094.0	0.021973	34.5	0.025209	1059.5	0.0032359999999999993	0.9600446428571429	0.9850446428571429	0.9456868323501276	133	-1059.5	0.0032359999999999993
RNF2	262.0	0.044339	1091.5	0.039953	829.5	0.004386000000000001	0.9527901785714286	0.9925223214285714	0.9456655198700574	134	829.5	-0.004386000000000001
SP1	992.0	0.0185	4100.333333	0.016665	3108.3333329999996	0.0018349999999999998	0.98828125	0.9565848214285714	0.9453748430524553	135	3108.3333329999996	-0.0018349999999999998
LSR	4263.833333	0.007615	39.0	0.009339	4224.833333	0.0017239999999999998	0.99296875	0.9512834821428572	0.9445947701590401	136	-4224.833333	0.0017239999999999998
PABPC1	969.0	0.04516	118.0	0.048977	851.0	0.003817000000000001	0.9541294642857143	0.9897321428571428	0.9443325992506377	137	-851.0	0.003817000000000001
MOGS	3111.0	0.016577	22.0	0.018378	3089.0	0.001800999999999997	0.9881696428571428	0.9555803571428572	0.9442755002391582	138	-3089.0	0.001800999999999997
FGFR1	2885.5	0.017749	1748.5	0.020633	1137.0	0.0028839999999999977	0.9626116071428571	0.9806919642857143	0.9440254678531568	139	-1137.0	0.0028839999999999977
CHMP4B	1218.0	0.038973	2216.5	0.035867	998.5	0.0031059999999999977	0.9585379464285714	0.9838169642857143	0.9430258926080197	140	998.5	-0.0031059999999999977
TNIP2	2706.5	0.031203	9569.833333	0.029593	6863.3333330000005	0.0016100000000000003	0.9973214285714286	0.9454241071428572	0.9428917211415817	141	6863.3333330000005	-0.0016100000000000003
LARP7	3240.0	0.060601	6523.5	0.062349	3283.5	0.0017479999999999996	0.9891741071428571	0.9525669642857143	0.9422545763911033	142	3283.5	0.0017479999999999996
CPSF6	166.0	0.034525	866.5	0.029669	700.5	0.004855999999999999	0.9463169642857143	0.99453125	0.9411417933872768	143	700.5	-0.004855999999999999
NUDC	4077.5	0.02222	2893.5	0.019659	1184.0	0.0025610000000000008	0.9640625	0.9755580357142857	0.9404989188058036	144	-1184.0	-0.0025610000000000008
NUFIP2	632.333333	0.02293	1593.0	0.019974	960.666667	0.0029560000000000003	0.9575892857142857	0.9821428571428571	0.9404894770408163	145	960.666667	-0.0029560000000000003
