GeneName,Betweenness_Normal,eigenvector_norm,Betweenness_Tumor,eigenvector_tumor,logFC_betweenness,logFC_eigenvector,dice_score,DiCERank,EnsembleScore,DeltaBetweenness,DeltaEigenvector,Regulation
POLR2A,6e-06,0.028777,6e-06,0.028777,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MAP4K4,2e-06,0.014537,2e-06,0.014537,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
USP13,1e-06,0.006601,1e-06,0.006601,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CD79B,1e-06,0.002736,1e-06,0.002736,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RAB33B,1e-06,0.00194,1e-06,0.00194,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FGFR3,1.1e-05,0.011971,1.1e-05,0.011971,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CISD1,1e-06,0.007576,1e-06,0.007576,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PUM2,1e-06,0.008918,1e-06,0.008918,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
KCTD13,1e-06,0.002152,1e-06,0.002152,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CLMN,1e-06,0.004822,1e-06,0.004822,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CRLF1,2e-06,0.001482,2e-06,0.001482,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
IRS4,1e-06,0.020661,1e-06,0.020661,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
DCTN2,3e-06,0.019988,3e-06,0.019988,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CYFIP2,7e-06,0.01277,7e-06,0.01277,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C6orf141,1e-06,0.001657,1e-06,0.001657,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SPATS2L,1e-06,0.011642,1e-06,0.011642,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SLC16A10,3e-06,0.00308,3e-06,0.00308,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TIMM8B,1e-06,0.002271,1e-06,0.002271,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RNPEP,1e-06,0.007575,1e-06,0.007575,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
DSCR3,1e-06,0.002322,1e-06,0.002322,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SUFU,3e-06,0.002281,3e-06,0.002281,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
BIRC5,1e-06,0.006639,1e-06,0.006639,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ARHGEF17,2e-06,0.003569,2e-06,0.003569,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
LMTK2,3e-06,0.005792,3e-06,0.005792,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C1orf131,1e-06,0.004688,1e-06,0.004688,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C9orf41,1e-06,0.001714,1e-06,0.001714,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
LCE2C,1e-06,0.000856,1e-06,0.000856,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PHKA2,1e-06,0.002553,1e-06,0.002553,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CLIP4,1e-06,0.001341,1e-06,0.001341,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
LYRM7,1e-06,0.002078,1e-06,0.002078,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PPT2,1e-06,0.001312,1e-06,0.001312,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ZNHIT6,1e-06,0.003898,1e-06,0.003898,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PYHIN1,5e-06,0.016871,5e-06,0.016871,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ELP2,1e-06,0.006068,1e-06,0.006068,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
