source	target	direction
RAD50	NBN	KEGG
NFKB1	DEFB4B	KEGG
RAP1A	ITGB1	KEGG
FOS	DEFB4B	KEGG
RAP1A	MAP2K3	KEGG
RAP1A	IQGAP1	KEGG
GHRHR	GNAS	KEGG
GIT1	ARF6	KEGG
PREX1	RAC1	KEGG
RASSF5	PPP1CA	KEGG
GCGR	GNAS	KEGG
MAPK1	PLAU	KEGG
DIAPH1	RAC1	KEGG
MAP3K6	MAP2K3	KEGG
ERBB2	PLCG1	KEGG
MAPK8	FOXO6	KEGG
PPP1CA	PLN	KEGG
LFNG	NOTCH1	KEGG
MIR143	DNMT3A	KEGG
PRKAG2	MYL2	KEGG
MAGI1	SYNPO	KEGG
TNFRSF1A	NOS2	KEGG
FKBP8	NBR1	KEGG
PTPN6	TRAF6	KEGG
ABL1	ENAH	KEGG
RAB5A	VPS8	KEGG
NFIL3	PER1	KEGG
TRAF2	P3R3URF-PIK3R3	KEGG
SDC4	PRKCA	KEGG
PLCG2	RASGRP3	KEGG
RRAS	RASSF5	KEGG
RBPJL	NRARP	KEGG
VASP	ACTB	KEGG
MYC	CDKN2A	KEGG
PRKACA	NFATC1	KEGG
STIM1	ORAI1	KEGG
ZAP70	MAPK14	KEGG
JUN	VIM	KEGG
NFKB1	S100A7A	KEGG
STAT1	ZC3HAV1	KEGG
NFASC	EZR	KEGG
FOXO6	CDKN2B	KEGG
NTRK2	SH2B2	KEGG
RYR1	CACNA1A	KEGG
CREB3	ARC	KEGG
PLCG1	NOS3	KEGG
PRKACA	KCNK2	KEGG
HRAS	TIAM1	KEGG
CXCR4	PTK2B	KEGG
IGF1R	CTNNB1	KEGG
COL1A1	ITGA2	KEGG
SEMA4F	PLXNB2	KEGG
MAVS	NFKB1	KEGG
CASP1	BID	KEGG
TJP1	CTTN	KEGG
RAD50	RBBP8	KEGG
F11R	PARD3	KEGG
JUN	BCL2L11	KEGG
PRKN	SEPTIN5	KEGG
ARF1	WASF2	KEGG
CD44	ARHGEF12	KEGG
IRAK4	TLR4	KEGG
NFKB1	IFNG	KEGG
FOS	IFNG	KEGG
TP53	TNFRSF10B	KEGG
IRF9	OAS1	KEGG
AKT3	VEGFA	KEGG
NRCAM	ANK2	KEGG
PRKCZ	AKT3	KEGG
RAPGEF4	ABCC8	KEGG
CD96	GRB2	KEGG
MAP3K9	MAP2K7	KEGG
CASP3	GSDME	KEGG
BAK1	CYCS	KEGG
PTK2B	SRC	KEGG
CLDN24	TJP3	KEGG
GSK3A	GRIN2A	KEGG
YWHAQ	YAP1	KEGG
LRRC4C	NTNG1	KEGG
P2RY1	GNAQ	KEGG
CDX2	CDH17	KEGG
TNFSF4	TNFRSF4	KEGG
PTCH1	GAS1	KEGG
TP53	G6PD	KEGG
SQSTM1	GATA4	KEGG
FNBP1	SQSTM1	KEGG
BRCA1	BRCA2	KEGG
RASGRP1	HRAS	KEGG
CDC42	DIAPH3	KEGG
EGFR	JAK1	KEGG
WNT16	FZD10	KEGG
ULK1	ATG13	KEGG
CDC42	PARD6A	KEGG
ERBB2	PIK3CA	KEGG
PRKAG2	ACACB	KEGG
MAPK14	HSPB2	KEGG
BAIAP2	WASF2	KEGG
SLITRK1	PTPRS	KEGG
GNAO1	ADCY5	KEGG
RELA	BNIP3	KEGG
PLCD3	ITPR1	KEGG
NR4A2	FGF23	KEGG
CASP3	ATP8A1	KEGG
PTGER1	GNAI1	KEGG
CADM3	MPP3	KEGG
CDC25B	CDK1	KEGG
PRKCA	MAP2K7	KEGG
SREBF1	IRS2	KEGG
NTRK1	ABL1	KEGG
KLF2	PLAT	KEGG
RAC1	PAK1	KEGG
RIPK3	PYGB	KEGG
NFE2L2	DUSP1	KEGG
LRRK2	CYCS	KEGG
PXN	PARVB	KEGG
MYC	CDKN2B	KEGG
DKK1	WNT16	KEGG
MDM4	TP53	KEGG
PHKA1	CALML6	KEGG
CD28	GRB2	KEGG
IRF5	IFNA1	KEGG
ATG12	ATG5	KEGG
GNAQ	HRAS	KEGG
BCL2	CYCS	KEGG
CD274	CD80	KEGG
IL1A	NOS2	KEGG
PML	MYC	KEGG
GRM5	GNAQ	KEGG
DNAJC3	EIF2AK2	KEGG
MIR99A	FGFR3	KEGG
CHRM3	GNAQ	KEGG
BIRC2	CASP7	KEGG
FYN	CD247	KEGG
PIAS1	STAT1	KEGG
PRKCA	TRPC3	KEGG
LDLRAP1	LDLR	KEGG
THBS1	MMP2	KEGG
MAPK14	BCL2	KEGG
CSNK2A1	CTNNB1	KEGG
SYK	GAB2	KEGG
NECTIN3	NECTIN1	KEGG
IRF5	IL6	KEGG
SIRT6	MYC	KEGG
