source	target	direction
CHRM3	CALHM1	KEGG
PPP2CA	IRAK1	KEGG
GZMB	PARP2	KEGG
PTPRD	SLITRK3	KEGG
PRKACA	PSEN1	KEGG
IGF1R	IRS1	KEGG
MAPK1	ELK4	KEGG
CNR1	ADCY1	KEGG
SRC	DCC	KEGG
IFNG	IFNAR1	KEGG
EPOR	JAK2	KEGG
GNAQ	KCNJ18	KEGG
PLEKHM1	RAB7B	KEGG
MAPK1	ATP1B4	KEGG
LEF1	MMP7	KEGG
TNFRSF1A	NFKB1	KEGG
ULK1	ATG101	KEGG
NLRP6	PYCARD	KEGG
MIR125A	CDKN2A	KEGG
AXIN1	TPTEP2-CSNK1E	KEGG
EPAS1	ARNT	KEGG
HRH1	GNA11	KEGG
KIR3DL2	PTPN6	KEGG
CBL	MET	KEGG
CAMK4	PDE10A	KEGG
NFKB1	NOS2	KEGG
MET	CBL	KEGG
CDC25C	CDK1	KEGG
MET	SHC2	KEGG
SH2D1A	FYN	KEGG
ICAM1	PLCG1	KEGG
RPS6KA4	ATF4	KEGG
MAVS	TRAF6	KEGG
RORA	CRY1	KEGG
TNNI3	TNNT2	KEGG
MAD2L1	CDC20	KEGG
PARD3	PARD6A	KEGG
CHUK	IRS1	KEGG
LAT	P3R3URF-PIK3R3	KEGG
RUBCN	PIK3C3	KEGG
RORA	IL22	KEGG
FGFR3	SHC2	KEGG
TJP1	CGN	KEGG
MAPK8	ELK1	KEGG
DVL1	CSNK2A1	KEGG
NGFR	ZNF274	KEGG
CEBPB	CSF3	KEGG
ROBO2	NCK1	KEGG
MLN	MLNR	KEGG
SQSTM1	TRAF2	KEGG
XBP1	CEBPA	KEGG
MAPK7	GJA1	KEGG
ITGAM	JAM3	KEGG
ITGA2	PTPN6	KEGG
MIR32	BCL2L11	KEGG
FCGR2B	INPP5D	KEGG
CLEC7A	SYK	KEGG
NFATC1	IL4	KEGG
APOC1	LCAT	KEGG
CPSF6	TNPO3	KEGG
SMG1	UPF1	KEGG
STAT3	NPY	KEGG
XCL1	XCR1	KEGG
MPDZ	AMOT	KEGG
IL2RA	STAT5A	KEGG
LEFTY1	TGFB1	KEGG
E2F1	RB1	KEGG
CPT1C	ACSL1	KEGG
PRKCA	PTK2	KEGG
NGFR	MAGED1	KEGG
PRKCA	SLC9A1	KEGG
FGFR1	PLCG1	KEGG
TLR4	GNAI1	KEGG
GHSR	MRAP2	KEGG
MAP2K4	MAPK8IP3	KEGG
EZR	ACTB	KEGG
TIFA	TRAF6	KEGG
ELMO2	DOCK1	KEGG
ARRB1	ARAF	KEGG
S1PR1	GNAI1	KEGG
AMHR2	BMPR1A	KEGG
NFATC1	TNF	KEGG
RAP1A	SIPA1	KEGG
YAP1	AREG	KEGG
NFKB1	EDN1	KEGG
DNAJB1	DNAJC3	KEGG
MAPK1	CASP3	KEGG
PAK4	NCK2	KEGG
BIRC5	CASP3	KEGG
FOS	EDN1	KEGG
PTPRF	CTNNB1	KEGG
EGFR	CASP3	KEGG
BCL2	NLRP1	KEGG
VMP1	BECN2	KEGG
HTR5A	GNB5	KEGG
PLK1	CDC25B	KEGG
BRAF	MAP2K2	KEGG
TICAM1	MAP2K7	KEGG
MAPK1	RAP1A	KEGG
MAPK8	NFATC3	KEGG
OLR1	ROCK2	KEGG
MYD88	IFNA1	KEGG
ADRA1D	GNB5	KEGG
HRC	TRDN	KEGG
LTA	TNFRSF14	KEGG
EGR2	CREBBP	KEGG
UVRAG	ATG14	KEGG
KDR	SHC2	KEGG
SEMA7A	ITGB1	KEGG
RAC1	PAK4	KEGG
INS	IGF1R	KEGG
TRAF6	ZNF274	KEGG
SRC	TLN1	KEGG
TGFBR1	SMAD3	KEGG
IL1A	NFKB1	KEGG
RHOA	RAC1	KEGG
STK4	FOXO6	KEGG
ISG15	IFIH1	KEGG
MYD88	IL6	KEGG
HLA-A	CD8A	KEGG
CASP8	PYCARD	KEGG
MAPK1	FOXO6	KEGG
PRKACA	NHERF1	KEGG
TLR2	MAPK1	KEGG
IGBP1	PPP2CA	KEGG
CXCL9	CXCR3	KEGG
JUP	CCND1	KEGG
MAPK8	IL23A	KEGG
EZR	RHOA	KEGG
MYD88	FADD	KEGG
PTPRD	MTSS2	KEGG
SCT	SCTR	KEGG
TP53	GTSE1	KEGG
VCL	TLN1	KEGG
AKT3	BRCA1	KEGG
CTSS	RFX5	KEGG
PPARGC1A	NRF1	KEGG
CEBPB	MMP9	KEGG
ADAM10	MERTK	KEGG
PTPN6	SYK	KEGG
YAP1	ITGB2	KEGG
MIR155	SOCS1	KEGG
AGER	RAC1	KEGG
MIR34A	NOTCH1	KEGG
MDM4	MDM2	KEGG
NPPC	NPR2	KEGG
PORCN	WNT16	KEGG
PGR	MIR141	KEGG
MARVELD2	TJP1	KEGG
NOS1	NOS1AP	KEGG
INHBA	ACVR2A	KEGG
ADORA2A	GNAS	KEGG
FZD10	DVL1	KEGG
PRKACA	SLC8A2	KEGG
UBE2L3	RPS27A	KEGG
LMO7	ACTB	KEGG
RBPJL	PTCRA	KEGG
CREB3	CYP11B1	KEGG
EIF2AK2	EIF2S1	KEGG
SMO	ARRB1	KEGG
RAC1	WASF2	KEGG
BAD	CYCS	KEGG
MET	CTNNB1	KEGG
MIR125A	EGFR	KEGG
TRAF2	MAP4K2	KEGG
ITGA4	JAML	KEGG
CFTR	TJP1	KEGG
RICTOR	MAPKAP1	KEGG
IL6R	STAT3	KEGG
SYK	BLNK	KEGG
TACR2	GNA11	KEGG
NFKB1	IL4R	KEGG
ACE	KNG1	KEGG
NECTIN3	PARD3	KEGG
RAB10	SLC2A4	KEGG
FOS	IL4R	KEGG
TNIP1	IKBKG	KEGG
MAP3K11	MAPK8	KEGG
MAPK1	ATP2A1	KEGG
SP1	ATP2A1	KEGG
TLR2	NFKB1	KEGG
PPP1CA	CACNG3	KEGG
ADCY5	PRKACA	KEGG
PCSK9	LDLR	KEGG
CASP8	TP53	KEGG
CD4	HLA-DMA	KEGG
NF1	RRAS2	KEGG
PRLR	JAK2	KEGG
SMAD2	SMAD4	KEGG
NFKB1	SELP	KEGG
MAPKAPK2	ATF4	KEGG
FGFR1	KL	KEGG
CGA	TSHR	KEGG
ARHGEF7	CDC42	KEGG
RPS6KB1	IRS1	KEGG
GNAS	ADCY3	KEGG
GNAI1	MMP24	KEGG
HTT	MAP3K10	KEGG
NLK	FOXO6	KEGG
MYD88	CXCL8	KEGG
CD36	MAP2K1	KEGG
TBK1	IRF7	KEGG
SORBS1	AFDN	KEGG
SQSTM1	GABARAP	KEGG
GSPT2	PABPC4L	KEGG
MYH9	MYL12B	KEGG
USP8	PRKN	KEGG
PRKAG2	FOXO6	KEGG
HCK	GAB2	KEGG
CD24	SIGLEC10	KEGG
PLCG1	RASGRP1	KEGG
ARRB1	CXCR6	KEGG
MFN2	OPA1	KEGG
TCF3	CDKN2C	KEGG
AFDN	RAP1A	KEGG
GNRHR	GNAS	KEGG
GABBR1	KCNJ3	KEGG
NFKB1	AGT	KEGG
MAD1L1	MAD2L2	KEGG
PRKCZ	ADCY5	KEGG
CBL	CTNNB1	KEGG
IRF3	BST2	KEGG
HTT	ITPR1	KEGG
MECOM	MAPK8	KEGG
CYLD	TRAF6	KEGG
HSP90AA1	RIPK3	KEGG
TJP1	RAPGEF2	KEGG
MIR199A1	IKBKB	KEGG
ITGAM	SYK	KEGG
ARF6	PIP5K1C	KEGG
AR	KLK3	KEGG
ULK1	RB1CC1	KEGG
BCL10	MAP3K7	KEGG
RUNX1	JUP	KEGG
MAP3K1	MAP2K7	KEGG
CNTN2	EPB41L1	KEGG
NPY	CHRM1	KEGG
PDPK1	PRKCI	KEGG
CCL25	CCR9	KEGG
CDC25A	CDK1	KEGG
STAT1	IGFALS	KEGG
BLK	PLCG2	KEGG
AKT3	PDE3B	KEGG
BMP4	BMPR1A	KEGG
CSF1	CSF1R	KEGG
FBXW11	YAP1	KEGG
TLR4	P3R3URF-PIK3R3	KEGG
PRKACA	TRPV5	KEGG
SKP1	CRY1	KEGG
P2RY11	GNAS	KEGG
IRAK4	IKBKG	KEGG
PRKAG2	EEF2K	KEGG
C4B_2	C3	KEGG
NFKB2	BCL2	KEGG
PTH1R	GNAS	KEGG
TRAF2	RAC1	KEGG
POMC	ADCYAP1R1	KEGG
MIR345	ABCC1	KEGG
VCL	SORBS1	KEGG
TRADD	TRAF2	KEGG
SYK	PLCB1	KEGG
PPP1R15A	EIF2S1	KEGG
CAMK2A	SCN1B	KEGG
APP	APBB1	KEGG
ADIPOR1	PRKAG2	KEGG
STAT1	INS	KEGG
EFNB1	RGS3	KEGG
SMAD2	RORA	KEGG
NGFR	ARHGDIA	KEGG
STK11	ARHGEF18	KEGG
MAP3K6	MAP2K6	KEGG
CXCL16	CXCR6	KEGG
SMURF1	RHOA	KEGG
HDAC5	MEF2B	KEGG
BRCA2	SEM1	KEGG
FASLG	TNFRSF6B	KEGG
MAPK14	NEFH	KEGG
JUN	CD44	KEGG
PTH1R	ARRB1	KEGG
PRKACA	RPS6KB1	KEGG
CEBPB	CSF2	KEGG
RAF1	RELA	KEGG
NFE2L2	HMOX1	KEGG
EDARADD	TRAF6	KEGG
NLRX1	GABARAP	KEGG
IL2RG	STAT6	KEGG
ATG3	MAP1LC3BP1	KEGG
LUM	TGFB2	KEGG
ICAM1	ACTN4	KEGG
JUN	THBD	KEGG
IL1B	IL1R1	KEGG
SMG1	SMG7	KEGG
CREB3	CYP17A1	KEGG
ZFP36	IL6	KEGG
GSK3B	CEBPB	KEGG
VAV3	LCP2	KEGG
CREB1	CTSK	KEGG
IAPP	RAMP2	KEGG
FLNA	ACTB	KEGG
HOMER3	ITPR1	KEGG
WIPF2	WASL	KEGG
PPP1CA	GYS1	KEGG
NTRK3	PLCG1	KEGG
APBB1IP	PFN3	KEGG
EFNA4-EFNA3	RASA1	KEGG
TRAF2	FYN	KEGG
ICAM1	PRKCA	KEGG
ZAP70	SHC2	KEGG
SIPA1L2	RAP1A	KEGG
LRRC4C	PTPRF	KEGG
CYCS	CASP9	KEGG
PRKCA	RRAS2	KEGG
MAPK8IP2	MAP3K11	KEGG
PTK2	UNC5D	KEGG
RXFP1	GNAO1	KEGG
KEAP1	NFE2L2	KEGG
CLEC1B	SYK	KEGG
SOCS4	IRS1	KEGG
HNF1A	HNF4A	KEGG
EDA	EDA2R	KEGG
SRC	FCGR1A	KEGG
SFN	CCNB3	KEGG
RALGDS	RHOA	KEGG
PRKCA	TRPV4	KEGG
MAP3K7	PRKAA1	KEGG
PRKG1	PPP1R17	KEGG
PLCB1	KCNK3	KEGG
SYK	PLD1	KEGG
NFKB1	NFKBIA	KEGG
GPER1	GNB5	KEGG
ROBO1	AKT3	KEGG
IGH	FCGR2A	KEGG
CD80	CD28	KEGG
LAT	PLCG1	KEGG
HTT	BECN2	KEGG
ROCK1	GAB1	KEGG
MAPK1	TBX3	KEGG
CD44	NANOGP8	KEGG
BCAR1	PXN	KEGG
PRKACA	CYP24A1	KEGG
SREBF1	SCD	KEGG
CCL13	ACKR4	KEGG
ACP1	SRC	KEGG
MIR143	MAPK7	KEGG
IFNG	IDO2	KEGG
MIR195	RAF1	KEGG
CD44	IQGAP1	KEGG
ETS1	VEGFD	KEGG
CEBPB	CCL20	KEGG
BID	BAK1	KEGG
PRKCQ	CARD10	KEGG
LY9	SH2D1A	KEGG
NRBF2	PIK3C3	KEGG
CREB3	PDYN	KEGG
NFATC1	IL12RB1	KEGG
YAP1	BIRC5	KEGG
PPP2R3B	PPP1R1A	KEGG
IGF1R	P3R3URF-PIK3R3	KEGG
PIK3R6	EGFR	KEGG
MAPK14	SMAD2	KEGG
SLC38A9	LAMTOR5	KEGG
PRKACA	RUNX2	KEGG
LRRC4B	PTPRD	KEGG
STAT5A	PIM2	KEGG
PPP3CA	PPP1R1A	KEGG
RAC1	ABLIM3	KEGG
NFKB2	CD40	KEGG
JUN	IL1A	KEGG
OXTR	GNAQ	KEGG
CCL16	CCR1	KEGG
EGFR	SOS1	KEGG
SIGLEC10	PTPN6	KEGG
MYD88	CXCL1	KEGG
LPAR1	GNA13	KEGG
NFATC1	CSF2	KEGG
LY9	CSK	KEGG
TRAF3	TBK1	KEGG
GAB1	CRK	KEGG
CD46	MSN	KEGG
GRB2	MAPK1	KEGG
RAC1	ABCA1	KEGG
IRF9	IFIT1	KEGG
CASP3	PAK1	KEGG
NFKB2	IL15RA	KEGG
STAT5A	BCL2L1	KEGG
CIITA	RFX5	KEGG
RRAS2	AFDN	KEGG
GLI3	HHIP	KEGG
CDK2	CCNE1	KEGG
RB1CC1	ATG16L1	KEGG
FASLG	FAS	KEGG
MYD88	IL1B	KEGG
KLB	FGFR1	KEGG
DAPK1	BECN2	KEGG
HEG1	KRIT1	KEGG
SYK	MAP3K14	KEGG
KCNK2	BVES	KEGG
NTF3	NTRK3	KEGG
TBPL2	SP1	KEGG
NRG2	ERBB3	KEGG
SHC2	SRC	KEGG
CXCR4	GNB5	KEGG
DHX58	IFIH1	KEGG
FOXO6	FBXO32	KEGG
MAP3K4	MAP2K3	KEGG
AKT3	MAP2K4	KEGG
HES1	CCND1	KEGG
MIR101-1	EZH2	KEGG
HDAC1	RB1	KEGG
SLAMF1	PTPN6	KEGG
AKT3	RAF1	KEGG
NFATC1	IL10	KEGG
PTK2B	PXN	KEGG
BCAR1	CRK	KEGG
SP1	PTH	KEGG
GAB1	GRB2	KEGG
AGER	MAPK8	KEGG
LZTS2	CTNNB1	KEGG
UVRAG	BECN2	KEGG
COMP	CD47	KEGG
RALA	EXOC2	KEGG
PDGFRA	P3R3URF-PIK3R3	KEGG
SREBF1	ACACB	KEGG
CASP1	IL33	KEGG
LYN	VAV3	KEGG
CREB3	JUN	KEGG
RAMP2	GNB5	KEGG
PAK1	MAP3K2	KEGG
PPARA	RXRA	KEGG
HIF1A	CXCL1	KEGG
RAP1A	APBB1IP	KEGG
FOS	CXCL1	KEGG
NFKB1	FAS	KEGG
MMAA	MMUT	KEGG
CRK	RAPGEF1	KEGG
AKT1S1	MTOR	KEGG
BRAF	MAP2K1	KEGG
MIR125A	TP53	KEGG
FOS	FAS	KEGG
GP6	FYN	KEGG
ABCA1	APOA1	KEGG
WTIP	SAV1	KEGG
SMAD2	FOXP3	KEGG
MMP2	HBEGF	KEGG
PARD6A	PRKCI	KEGG
AKT3	ADCY1	KEGG
TNF	MTOR	KEGG
TBXA2R	GNAQ	KEGG
SUPT20HL1	ATG9B	KEGG
KCNMB2	CACNA1C	KEGG
PLXNB2	RRAS	KEGG
PRKCE	SLC9A1	KEGG
MIR30A	PLCG1	KEGG
FOS	IL1B	KEGG
NECTIN3	AFDN	KEGG
ARHGEF7	ARHGEF12	KEGG
DLGAP1	SHANK2	KEGG
SP1	SLC44A3	KEGG
VPS45	RBSN	KEGG
MIR18A	KRAS	KEGG
FOXO3	CDKN1B	KEGG
MAP3K1	MAPK14	KEGG
RNF152	RRAGB	KEGG
RRAS2	PLCE1	KEGG
RXRA	PPARG	KEGG
STAT1	GCK	KEGG
MAPK14	TRPV1	KEGG
ERN1	MAPK8	KEGG
PRKACA	BAD	KEGG
MAP3K11	MAP2K7	KEGG
IL10RA	JAK1	KEGG
PTH	PTH1R	KEGG
JAK1	TYK2	KEGG
PIK3C2A	CYTH4	KEGG
ZBP1	IRF3	KEGG
RPS6KA5	MYC	KEGG
SORT1	APOB	KEGG
GSK3B	ARAF	KEGG
IRF5	CCL4L1	KEGG
TRIM25	RIGI	KEGG
GRB2	LCP2	KEGG
MAP2K1	MAPK14	KEGG
NFKB1	IL18	KEGG
OPRM1	GNB5	KEGG
PTPN6	LAT	KEGG
TRAF2	XBP1	KEGG
PRKACA	STAR	KEGG
IFNGR1	P3R3URF-PIK3R3	KEGG
ACVR1	SMAD2	KEGG
NFKB2	ITGAL	KEGG
MAPK8	BCL2	KEGG
SEMA7A	PLXNC1	KEGG
L1CAM	FGFR1	KEGG
PXN	GIT2	KEGG
IFNGR1	FAS	KEGG
LYL1	TCF3	KEGG
SMO	PRKCA	KEGG
RRAS2	RGL2	KEGG
SRC	OCLN	KEGG
PRKACA	TRPM8	KEGG
PLG	C3	KEGG
NRCAM	KCNQ2	KEGG
PPP2R3B	SMG5	KEGG
FOS	ANGPT2	KEGG
CTTN	ACTB	KEGG
IRF7	IFNE	KEGG
CREB3	UCP1	KEGG
FN1	CD44	KEGG
EGR1	SPP1	KEGG
BAX	CYCS	KEGG
SERPING1	C1QA	KEGG
CREB1	ACP5	KEGG
RASSF1	CCND1	KEGG
GRM1	NCDN	KEGG
PRKCA	TTF2	KEGG
TBL1X	APC2	KEGG
FYCO1	KLC3	KEGG
SUGT1	NLRP3	KEGG
MAPK1	JAG1	KEGG
CD2	CD48	KEGG
PPP3CA	PPP1R1B	KEGG
CCL1	CCR8	KEGG
HES1	RBPJL	KEGG
FYN	RAC1	KEGG
MIR223	STMN1	KEGG
PTPA	AKT3	KEGG
SRC	FARP2	KEGG
TP53	SUMO4	KEGG
CALML6	CAMK2A	KEGG
HES1	CDKN1A	KEGG
HRAS	BRAF	KEGG
CCR5	GNA11	KEGG
CD40	IL12A	KEGG
PRKCD	TRAF2	KEGG
S1PR2	GNAI1	KEGG
ZNRF3	FZD10	KEGG
MAPK14	NEFL	KEGG
CDC25A	CDK2	KEGG
PEX13	PEX14	KEGG
HRAS	RAF1	KEGG
CREBBP	ATF4	KEGG
NFKB2	IL2	KEGG
NECTIN3	SRC	KEGG
CASP6	LMNA	KEGG
USP7	FOXO6	KEGG
CSF3	CSF3R	KEGG
MIR23C	MAPK1	KEGG
MAPK8	PLA2G4B	KEGG
RASSF1	HRAS	KEGG
CAMK4	ATF4	KEGG
GSK3B	NFATC1	KEGG
PIK3R6	PDPK1	KEGG
VSIR	IGSF11	KEGG
PPP1CA	GRIN3A	KEGG
PPIAL4H	TNPO3	KEGG
GNB5	P3R3URF-PIK3R3	KEGG
AGTR1	GNAQ	KEGG
RAP1A	ID1	KEGG
MIR221	TIMP3	KEGG
ALCAM	CD6	KEGG
PRKCA	ATG7	KEGG
DUSP1	MAPK8	KEGG
NTRK1	HRAS	KEGG
CXADR	JAML	KEGG
P3R3URF-PIK3R3	HRAS	KEGG
HRAS	P3R3URF-PIK3R3	KEGG
ABL1	SHC2	KEGG
SMAD2	BMPR1A	KEGG
PRKCA	ELK1	KEGG
CLEC4M	IL10	KEGG
NGFR	P3R3URF-PIK3R3	KEGG
SELPLG	SELP	KEGG
PTK2	P3R3URF-PIK3R3	KEGG
PEX6	PEX26	KEGG
SHANK2	HOMER3	KEGG
ACTB	ARPC5	KEGG
VDR	SLC34A2	KEGG
FADD	CFLAR	KEGG
PLA2G15	PPARD	KEGG
CRK	RHOQ	KEGG
SORBS1	ACTB	KEGG
RORA	BMAL1	KEGG
THY1	ARHGAP35	KEGG
NTRK1	GRB2	KEGG
NFKB1	XIAP	KEGG
ELK1	BIRC2	KEGG
GNAQ	PLCB1	KEGG
LAT	NFATC1	KEGG
TICAM1	RIPK3	KEGG
ULBP3	KLRC4-KLRK1	KEGG
FOXO6	BCL6	KEGG
RBBP8	MRE11	KEGG
SGK1	WNK1	KEGG
PRAP1	STK11	KEGG
NFKB1	GADD45G	KEGG
SQSTM1	MAP1LC3BP1	KEGG
KDR	CDC42	KEGG
HCFC1	MMACHC	KEGG
NFKB1	SERPINE1	KEGG
MAPK1	MITF	KEGG
LPAR6	GNA13	KEGG
FADD	CASP8	KEGG
PPP3CA	NFATC1	KEGG
EPAS1	VEGFA	KEGG
LYN	DAPP1	KEGG
STAT1	CXCL9	KEGG
CGAS	STING1	KEGG
LYN	FYN	KEGG
NRCAM	EZR	KEGG
GPHB5	TSHR	KEGG
GPER1	GNAS	KEGG
ACTB	CTNNA1	KEGG
MPST	MOCS3	KEGG
CCL17	CCR4	KEGG
INHBA	NODAL	KEGG
MTOR	PRKCA	KEGG
PRKACA	ARHGDIA	KEGG
RALGDS	PLD1	KEGG
PRKACA	ATP1B4	KEGG
MAP3K14	NFKB1	KEGG
CBLB	P3R3URF-PIK3R3	KEGG
TP53INP2	VMP1	KEGG
LRRTM4	PTPRS	KEGG
CCL28	CCR10	KEGG
ARHGEF12	RRAS2	KEGG
CASP5	GSDMD	KEGG
MAP2	TUBA1B	KEGG
CD244	CD48	KEGG
STAT1	IGF1	KEGG
THBS1	CD36	KEGG
SREBF1	ACACA	KEGG
CD2AP	NPHS2	KEGG
SEC31A	SAR1B	KEGG
SPEN	RBPJL	KEGG
ITGA11	SRC	KEGG
GPC3	WNT16	KEGG
MIR210	E2F3	KEGG
PRKCA	EZR	KEGG
IL10	NOS2	KEGG
PDK2	PDHA1	KEGG
PPP1R12A	MYL12B	KEGG
CD86	CTLA4	KEGG
HSPG2	VEGFA	KEGG
ROCK2	FHOD1	KEGG
MIR335	TNC	KEGG
PILRB	PTPN11	KEGG
STAT1	CCND1	KEGG
LEF1	JUN	KEGG
SRC	JAK2	KEGG
EPHA2	RASA1	KEGG
PRKCB	INSR	KEGG
RRAS2	BRAP	KEGG
CSF1R	P3R3URF-PIK3R3	KEGG
TADA3	TP53	KEGG
IGF1R	PLCG1	KEGG
THRB	RCAN1	KEGG
NRXN3	NLGN4Y	KEGG
NFKB1	CDK4	KEGG
WDR45	ATG16L1	KEGG
PLCB1	PRKCA	KEGG
RPS6KB1	EIF4B	KEGG
COL1A1	GP6	KEGG
TNFRSF1A	BAG4	KEGG
FOS	CDK4	KEGG
BLNK	BTK	KEGG
LRRC32	TGFB1	KEGG
PTPN6	P3R3URF-PIK3R3	KEGG
PSMC1	RB1	KEGG
RASGRP1	PLA2G4B	KEGG
IFI16	PYCARD	KEGG
GAB2	PTPN11	KEGG
KISS1R	GNA11	KEGG
CCND1	CDK4	KEGG
ADAMTS13	VWF	KEGG
MAPK7	JUN	KEGG
ADM	CALCRL	KEGG
PDGFRB	P3R3URF-PIK3R3	KEGG
YWHAQ	FOXO3	KEGG
DOCK4	RAP1A	KEGG
CDKN1A	MAP3K5	KEGG
THBS1	LTBP1	KEGG
RXFP3	GNAI1	KEGG
MAPK1	PTGS2	KEGG
PGR	KLF5	KEGG
RPS6KA4	CREB3	KEGG
HSP90AA1	NLRP3	KEGG
IL6R	SOCS3	KEGG
RIPK2	MAPK1	KEGG
HSP90AA1	MOS	KEGG
TNFSF14	LTBR	KEGG
PRKCA	CYBB	KEGG
RASSF5	HIPK3	KEGG
TNFSF11	TNFRSF11B	KEGG
PPP1CA	CACNA1C	KEGG
PRKCE	RRAS2	KEGG
NR3C2	ATP1B4	KEGG
DLL3	NOTCH1	KEGG
IFNAR1	JAK1	KEGG
HIF1A	DDIT4	KEGG
MAP2K6	MAPK14	KEGG
NFKB1	MYB	KEGG
BAMBI	ACVR1	KEGG
ARAP3	RHOA	KEGG
IL4	NOS2	KEGG
PRKACA	RAP1A	KEGG
VDR	TRPV6	KEGG
CBX3	CXCL8	KEGG
TNF	MAPK8	KEGG
IL18	IL18RAP	KEGG
GCK	PKLR	KEGG
DPYSL5	DPYSL2	KEGG
SLIT2	ROBO2	KEGG
SNAP29	STX7	KEGG
RALBP1	RAC1	KEGG
GORASP2	LAMP1	KEGG
C1QA	C2	KEGG
CAMK1D	NOS3	KEGG
PEX5L	PEX14	KEGG
PRKACA	CDC25C	KEGG
CCL21	ACKR4	KEGG
APOE	LRP1	KEGG
MAPK8	FOXO1	KEGG
MIRLET7A1	CASP3	KEGG
STXBP1	STX1B	KEGG
ICAM2	ACTN4	KEGG
RGS9	GNAT1	KEGG
POMC	MC2R	KEGG
MIR103B1	RPS6KA5	KEGG
RXFP4	GNAO1	KEGG
CCL13	CCR3	KEGG
MTOR	SOCS1	KEGG
GATA3	IL2	KEGG
RHOA	MAP2K6	KEGG
CASP3	ACTB	KEGG
LAT	NFKB1	KEGG
FGF21	FGFR1	KEGG
MIR30A	PRKCA	KEGG
STAT1	PRLR	KEGG
E2F1	CCNE1	KEGG
ICOS	CD40LG	KEGG
NFKB1	BCL2L1	KEGG
FOXO6	PLK4	KEGG
ADAM17	IL6R	KEGG
MIR205	PRKCE	KEGG
RIPK2	NFKB1	KEGG
PRKAG2	MLYCD	KEGG
IL1RAP	PTPRD	KEGG
ROCK1	ANK1	KEGG
FOXP3	RUNX1	KEGG
KIRREL1	NPHS1	KEGG
MIR15A	WNT3	KEGG
SOD1	DERL1	KEGG
MC2R	MRAP	KEGG
MPZ	MBP	KEGG
ISG15	RIGI	KEGG
TNFRSF1A	TRAF2	KEGG
MAPK14	JUN	KEGG
KIR3DL1	PTPN6	KEGG
P3R3URF-PIK3R3	HIF1A	KEGG
MAP1LC3BP1	SQSTM1	KEGG
MIOS	NPRL2	KEGG
ATF4	BCL2	KEGG
NR0B2	CYP7A1	KEGG
NFKB1	CMA1	KEGG
NXF1	NXT1	KEGG
MAP3K7	MAP2K6	KEGG
INPP5D	TRAF6	KEGG
NEDD4	SYK	KEGG
OPRM1	GNAS	KEGG
MAPK1	SLC9A1	KEGG
CHMP1A	CHMP2B	KEGG
CDKN2C	CDK4	KEGG
ITGAM	P3R3URF-PIK3R3	KEGG
RASA2	RRAS2	KEGG
ARF6	RAC1	KEGG
NFE2L2	GSTO2	KEGG
MTOR	SGK1	KEGG
PPP3CA	CALML6	KEGG
PPID	PPIF	KEGG
APCDD1	LRP6	KEGG
TNFRSF10B	RIPK1	KEGG
CCL28	CCR3	KEGG
ADAM17	RHBDF1	KEGG
ITGB1	SRC	KEGG
FOS	MMP1	KEGG
NTF3	NGFR	KEGG
TNFSF8	TNFRSF8	KEGG
FOXO3	CITED2	KEGG
AXIN1	DVL1	KEGG
TRAF2	MAP3K7	KEGG
AKT3	GNRH1	KEGG
HCRTR1	GNB5	KEGG
CRK	ABL1	KEGG
GYS1	OGT	KEGG
CD247	ZAP70	KEGG
NR3C2	FXYD4	KEGG
PTPN11	LAT	KEGG
MIR1-1	FOXP1	KEGG
PLK1	CPEB2	KEGG
OLR1	ARHGEF1	KEGG
PRKCZ	PIAS4	KEGG
EPHA2	ABL1	KEGG
IKBKE	STAT1	KEGG
ASIP	MC1R	KEGG
PLCB1	CALML6	KEGG
SIK2	CRTC2	KEGG
SH3BP2	PLCG1	KEGG
PLD1	SPHK2	KEGG
IHH	PTCH1	KEGG
ROCK2	MYL12B	KEGG
ATP6V1FP2	EGFR	KEGG
AKT3	TBC1D4	KEGG
GNB5	CACNA1A	KEGG
OGT	NOS3	KEGG
NTRK2	ABL1	KEGG
MIR181A2	ATM	KEGG
ADORA1	GNAI1	KEGG
CCL15	CCR3	KEGG
ROBO3	ROBO1	KEGG
SH3GLB1	UVRAG	KEGG
CASP4	CASP1	KEGG
NFKB1	PTGS2	KEGG
RAP1A	BRAF	KEGG
MIR217	TRA2A	KEGG
CREB1	FOS	KEGG
FOS	PTGS2	KEGG
NFYB	HLA-DMA	KEGG
FOXO1	PCK1	KEGG
MAPK14	MAPK1	KEGG
GATA3	IL12RB1	KEGG
CASP9	CASP3	KEGG
STAT3	IL21	KEGG
KITLG	EGFR	KEGG
GNG12	PAK4	KEGG
HLA-A	AP1M2	KEGG
STARD3	VDAC1	KEGG
CDK5R1	CDK5	KEGG
MAPK7	CCND1	KEGG
MIR30A	UBE2I	KEGG
RAP1A	RAF1	KEGG
GIPR	GNB5	KEGG
TLR2	RAC1	KEGG
HHIP	IHH	KEGG
NLRC4	PYCARD	KEGG
OGT	AKT3	KEGG
MITF	DCT	KEGG
ARAF	MAP2K2	KEGG
ADGRB1	ELMO1	KEGG
WHAMM	ARPC5	KEGG
OPRD1	GNAI1	KEGG
STAT4	IL2	KEGG
RAC1	P3R3URF-PIK3R3	KEGG
BRCC3	NLRP3	KEGG
GPER1	PTK2	KEGG
JAK2	STAT5A	KEGG
